ColonyID,InocDate,Round,Pollen,Infection,Week,Date ,Weight
29,07/19/17,2B,W,I,5,08/16/17,734
30,07/18/17,2A,S,I,5,08/15/17,769.7
32,07/18/17,2A,S,I,5,08/15/17,705.2
33,07/19/17,2B,W,I,5,08/16/17,691.4
34,07/18/17,2A,S,U,5,08/15/17,665.1
36,07/18/17,2A,W,U,5,08/15/17,699.2
38,07/18/17,2A,S,U,5,08/15/17,711
40,07/19/17,2B,W,I,5,08/16/17,687.2
41,07/19/17,2B,S,U,5,08/16/17,691.2
42,07/18/17,2A,S,I,5,08/15/17,711.1
43,07/18/17,2A,W,I,5,08/15/17,678.9
44,07/19/17,2B,W,U,5,08/16/17,734.9
45,07/19/17,2B,S,I,5,08/16/17,675
46,07/19/17,2B,W,U,5,08/16/17,727.1
47,07/19/17,2B,W,I,5,08/16/17,737.8
48,07/19/17,2B,W,U,5,08/16/17,683.6
50,07/18/17,2A,S,U,5,08/15/17,671.7
1,07/07/17,1B,S,I,6,08/11/17,781.9
2,07/06/17,1A,S,I,6,08/10/17,695.7
3,07/06/17,1A,W,U,6,08/10/17,705.1
4,07/06/17,1A,W,U,6,08/10/17,729.3
5,07/06/17,1A,S,U,6,08/10/17,695.5
6,07/07/17,1B,S,I,6,08/11/17,674.5
7,07/07/17,1B,S,U,6,08/11/17,715.4
8,07/06/17,1A,S,I,6,08/10/17,712.6
9,07/07/17,1B,W,I,6,08/11/17,705.6
11,07/06/17,1A,S,U,6,08/10/17,702.4
12,07/06/17,1A,S,U,6,08/10/17,711.6
14,07/07/17,1B,W,I,6,08/11/17,786
15,07/07/17,1B,W,U,6,08/11/17,727.3
16,07/06/17,1A,W,I,6,08/10/17,714.5
17,07/07/17,1B,W,U,6,08/11/17,707.8
18,07/07/17,1B,W,I,6,08/11/17,802.8
21,07/06/17,1A,W,I,6,08/10/17,708.7
22,07/07/17,1B,S,U,6,08/11/17,753.2
23,07/07/17,1B,W,U,6,08/11/17,703.5
25,07/06/17,1A,S,I,6,08/10/17,702.9
26,07/19/17,2B,S,U,6,08/23/17,707.5
27,07/18/17,2A,W,U,6,08/22/17,703.3
28,07/18/17,2A,S,I,6,08/22/17,704.4
29,07/19/17,2B,W,I,6,08/23/17,725.5
30,07/18/17,2A,S,I,6,08/22/17,758.6
32,07/18/17,2A,S,I,6,08/22/17,744.8
33,07/19/17,2B,W,I,6,08/23/17,726.6
34,07/18/17,2A,S,U,6,08/22/17,684.9
36,07/18/17,2A,W,U,6,08/22/17,708
38,07/18/17,2A,S,U,6,08/22/17,722.2
40,07/19/17,2B,W,I,6,08/23/17,737.6
41,07/19/17,2B,S,U,6,08/23/17,691.4
42,07/18/17,2A,S,I,6,08/22/17,729.5
43,07/18/17,2A,W,I,6,08/22/17,672.7
44,07/19/17,2B,W,U,6,08/23/17,732.1
45,07/19/17,2B,S,I,6,08/23/17,726.5
46,07/19/17,2B,W,U,6,08/23/17,715.6
47,07/19/17,2B,W,I,6,08/23/17,717.3
48,07/19/17,2B,W,U,6,08/23/17,710.4
50,07/18/17,2A,S,U,6,08/22/17,689.8
1,07/07/17,1B,S,I,7,08/18/17,748.7
2,07/06/17,1A,S,I,7,08/17/17,758.2
3,07/06/17,1A,W,U,7,08/17/17,808.7
4,07/06/17,1A,W,U,7,08/17/17,810.5
5,07/06/17,1A,S,U,7,08/17/17,762.4
6,07/07/17,1B,S,I,7,08/18/17,684.3
7,07/07/17,1B,S,U,7,08/18/17,784.5
8,07/06/17,1A,S,I,7,08/17/17,796.8
9,07/07/17,1B,W,I,7,08/18/17,748
11,07/06/17,1A,S,U,7,08/17/17,718.3
12,07/06/17,1A,S,U,7,08/17/17,749
14,07/07/17,1B,W,I,7,08/18/17,989.1
15,07/07/17,1B,W,U,7,08/18/17,764.4
16,07/06/17,1A,W,I,7,08/17/17,766.7
17,07/07/17,1B,W,U,7,08/18/17,728.5
18,07/07/17,1B,W,I,7,08/18/17,828
21,07/06/17,1A,W,I,7,08/17/17,768.6
22,07/07/17,1B,S,U,7,08/18/17,807.6
23,07/07/17,1B,W,U,7,08/18/17,742.1
25,07/06/17,1A,S,I,7,08/17/17,722.6
26,07/19/17,2B,S,U,7,08/29/17,716
27,07/18/17,2A,W,U,7,08/28/17,777.1
28,07/18/17,2A,S,I,7,08/28/17,728.9
29,07/19/17,2B,W,I,7,08/29/17,733.9
30,07/18/17,2A,S,I,7,08/28/17,766.1
32,07/18/17,2A,S,I,7,08/28/17,752.1
33,07/19/17,2B,W,I,7,08/29/17,722.5
34,07/18/17,2A,S,U,7,08/28/17,712
36,07/18/17,2A,W,U,7,08/28/17,726.7
38,07/18/17,2A,S,U,7,08/28/17,733.4
40,07/19/17,2B,W,I,7,08/29/17,737.7
41,07/19/17,2B,S,U,7,08/29/17,695.2
42,07/18/17,2A,S,I,7,08/28/17,726.5
43,07/18/17,2A,W,I,7,08/28/17,709
44,07/19/17,2B,W,U,7,08/29/17,723.2
45,07/19/17,2B,S,I,7,08/29/17,710.7
46,07/19/17,2B,W,U,7,08/29/17,724
47,07/19/17,2B,W,I,7,08/29/17,731.4
48,07/19/17,2B,W,U,7,08/29/17,745.9
50,07/18/17,2A,S,U,7,08/28/17,726.2
1,07/07/17,1B,S,I,8,08/25/17,742.1
2,07/06/17,1A,S,I,8,08/24/17,760.3
3,07/06/17,1A,W,U,8,08/24/17,772.5
4,07/06/17,1A,W,U,8,08/24/17,743.6
5,07/06/17,1A,S,U,8,08/24/17,754.8
6,07/07/17,1B,S,I,8,08/25/17,681.4
7,07/07/17,1B,S,U,8,08/25/17,772.9
8,07/06/17,1A,S,I,8,08/24/17,754.4
9,07/07/17,1B,W,I,8,08/25/17,705.3
11,07/06/17,1A,S,U,8,08/24/17,710.5
12,07/06/17,1A,S,U,8,08/24/17,732.4
14,07/07/17,1B,W,I,8,08/25/17,957.4
15,07/07/17,1B,W,U,8,08/25/17,750.9
16,07/06/17,1A,W,I,8,08/24/17,723.5
17,07/07/17,1B,W,U,8,08/25/17,765.8
18,07/07/17,1B,W,I,8,08/25/17,783.8
21,07/06/17,1A,W,I,8,08/24/17,768.9
22,07/07/17,1B,S,U,8,08/25/17,758.6
23,07/07/17,1B,W,U,8,08/25/17,718
25,07/06/17,1A,S,I,8,08/24/17,757.5
26,07/19/17,2B,S,U,8,09/06/17,740.6
27,07/18/17,2A,W,U,8,09/05/17,804.7
28,07/18/17,2A,S,I,8,09/05/17,779.5
29,07/19/17,2B,W,I,8,09/06/17,780
30,07/18/17,2A,S,I,8,09/05/17,819.4
32,07/18/17,2A,S,I,8,09/05/17,807.2
33,07/19/17,2B,W,I,8,09/06/17,792.8
34,07/18/17,2A,S,U,8,09/05/17,747.6
36,07/18/17,2A,W,U,8,09/05/17,828.6
38,07/18/17,2A,S,U,8,09/05/17,772.5
40,07/19/17,2B,W,I,8,09/06/17,767.4
41,07/19/17,2B,S,U,8,09/06/17,754.6
42,07/18/17,2A,S,I,8,09/05/17,767.3
43,07/18/17,2A,W,I,8,09/05/17,788.1
44,07/19/17,2B,W,U,8,09/06/17,761.5
45,07/19/17,2B,S,I,8,09/06/17,767.7
46,07/19/17,2B,W,U,8,09/06/17,740.7
47,07/19/17,2B,W,I,8,09/06/17,726.5
48,07/19/17,2B,W,U,8,09/06/17,771.9
50,07/18/17,2A,S,U,8,09/05/17,748.7
1,07/07/17,1B,S,I,9,09/01/17,742
2,07/06/17,1A,S,I,9,08/31/17,730.9
3,07/06/17,1A,W,U,9,08/31/17,770.7
4,07/06/17,1A,W,U,9,08/31/17,767.1
5,07/06/17,1A,S,U,9,08/31/17,738.5
6,07/07/17,1B,S,I,9,09/01/17,653.7
7,07/07/17,1B,S,U,9,09/01/17,817.5
8,07/06/17,1A,S,I,9,08/31/17,747.4
9,07/07/17,1B,W,I,9,09/01/17,729.4
11,07/06/17,1A,S,U,9,08/31/17,706.6
12,07/06/17,1A,S,U,9,08/31/17,714.9
14,07/07/17,1B,W,I,9,09/01/17,775.8
15,07/07/17,1B,W,U,9,09/01/17,747.2
16,07/06/17,1A,W,I,9,08/31/17,716.4
17,07/07/17,1B,W,U,9,09/01/17,790
18,07/07/17,1B,W,I,9,09/01/17,771.3
21,07/06/17,1A,W,I,9,08/31/17,755.9
22,07/07/17,1B,S,U,9,09/01/17,741.9
23,07/07/17,1B,W,U,9,09/01/17,702.7
25,07/06/17,1A,S,I,9,08/31/17,776.9
26,07/19/17,2B,S,U,9,09/13/17,744.4
27,07/18/17,2A,W,U,9,09/12/17,799.2
28,07/18/17,2A,S,I,9,09/12/17,753.8
29,07/19/17,2B,W,I,9,09/13/17,801.3
30,07/18/17,2A,S,I,9,09/12/17,760.6
32,07/18/17,2A,S,I,9,09/12/17,754.7
33,07/19/17,2B,W,I,9,09/13/17,807.3
34,07/18/17,2A,S,U,9,09/12/17,729.8
36,07/18/17,2A,W,U,9,09/12/17,815.3
38,07/18/17,2A,S,U,9,09/12/17,736.4
40,07/19/17,2B,W,I,9,09/13/17,760.6
41,07/19/17,2B,S,U,9,09/13/17,735.1
42,07/18/17,2A,S,I,9,09/12/17,762.9
43,07/18/17,2A,W,I,9,09/12/17,752.5
44,07/19/17,2B,W,U,9,09/13/17,779.9
45,07/19/17,2B,S,I,9,09/13/17,769.2
46,07/19/17,2B,W,U,9,09/13/17,739
47,07/19/17,2B,W,I,9,09/13/17,780.5
48,07/19/17,2B,W,U,9,09/13/17,808.1
50,07/18/17,2A,S,U,9,09/12/17,746.1
1,07/07/17,1B,S,I,10,09/08/18,839.8
2,07/06/17,1A,S,I,10,09/07/18,699.8
3,07/06/17,1A,W,U,10,09/07/18,799.1
4,07/06/17,1A,W,U,10,09/07/18,815.9
5,07/06/17,1A,S,U,10,09/07/18,754.8
6,07/07/17,1B,S,I,10,09/08/18,653.6
7,07/07/17,1B,S,U,10,09/08/18,851
8,07/06/17,1A,S,I,10,09/07/18,779.8
9,07/07/17,1B,W,I,10,09/08/18,768.6
11,07/06/17,1A,S,U,10,09/07/18,747.8
12,07/06/17,1A,S,U,10,09/07/18,796
14,07/07/17,1B,W,I,10,09/08/18,859.6
15,07/07/17,1B,W,U,10,09/08/18,815.1
16,07/06/17,1A,W,I,10,09/07/18,799.2
17,07/07/17,1B,W,U,10,09/08/18,823.8
18,07/07/17,1B,W,I,10,09/08/18,808.3
21,07/06/17,1A,W,I,10,09/07/18,784.3
22,07/07/17,1B,S,U,10,09/08/18,742.5
23,07/07/17,1B,W,U,10,09/08/18,790.3
25,07/06/17,1A,S,I,10,09/07/18,803.9
26,07/19/17,2B,S,U,10,09/20/17,737.9
27,07/18/17,2A,W,U,10,09/19/17,818
28,07/18/17,2A,S,I,10,09/19/17,764.6
29,07/19/17,2B,W,I,10,09/20/17,793.8
30,07/18/17,2A,S,I,10,09/19/17,758.3
32,07/18/17,2A,S,I,10,09/19/17,797.5
33,07/19/17,2B,W,I,10,09/20/17,790.3
34,07/18/17,2A,S,U,10,09/19/17,757
36,07/18/17,2A,W,U,10,09/19/17,791.6
38,07/18/17,2A,S,U,10,09/19/17,790.1
40,07/19/17,2B,W,I,10,09/20/17,743.7
41,07/19/17,2B,S,U,10,09/20/17,759.5
42,07/18/17,2A,S,I,10,09/19/17,745.2
43,07/18/17,2A,W,I,10,09/19/17,796
44,07/19/17,2B,W,U,10,09/20/17,826.8
45,07/19/17,2B,S,I,10,09/20/17,758
46,07/19/17,2B,W,U,10,09/20/17,740.6
47,07/19/17,2B,W,I,10,09/20/17,785.6
48,07/19/17,2B,W,U,10,09/20/17,786.1
50,07/18/17,2A,S,U,10,09/19/17,742.7
