DroneID,ColonyID,Pollen,Infection,WingSize
5213,30,S,I,2.573
5175,33,W,I,2.893
5181,33,W,I,2.682
5183,33,W,I,2.578
5205,33,W,I,2.952
5123,40,W,I,2.614
5124,40,W,I,2.419
5154,40,W,I,2.95
5187,40,W,I,2.941
5215,40,W,I,2.852
5142,41,S,U,2.763
5159,41,S,U,2.744
5070,42,S,I,2.658
5212,46,W,U,2.721
5090,48,W,U,2.937
5200,50,S,U,2.768
